Origin,Destination,Limit
SYD,AMS,2051
SYD,ATH,1566
SYD,ATL,1831
SYD,AKL,598
SYD,AVV,220
SYD,DMK,1228
SYD,BCN,2638
SYD,BNK,340
SYD,PEK,832
SYD,BLR,1346
SYD,BHX,1570
SYD,BOS,1831
SYD,YYC,1965
SYD,CNX,1308
SYD,ORD,1731
SYD,CHC,752
SYD,CMB,1332
SYD,CPH,1649
SYD,DFW,1723
SYD,DEL,1336
SYD,DPS,804
SYD,DXB,2096
SYD,DUB,1513
SYD,FRA,1647
SYD,CAN,1201
SYD,SGN,902
SYD,HKG,1058
SYD,HNL,1047
SYD,IAH,1731
SYD,CGK,755
SYD,JNB,1780
SYD,USM,1358
SYD,KUL,884
SYD,LAS,1582
SYD,LIM,2122
SYD,LHR,1415
SYD,LAX,1423
SYD,MAD,1654
SYD,MAN,1569
SYD,MNL,968
SYD,MEX,1719
SYD,MIA,1831
SYD,MXP,1658
SYD,BOM,1327
SYD,MUC,1627
SYD,NAN,744
SYD,MSY,1731
SYD,JFK,1823
SYD,NOU,588
SYD,MCO,1831
SYD,KIX,881
SYD,PPT,1326
SYD,CDG,1648
SYD,PEN,944
SYD,PNH,1374
SYD,HKT,936
SYD,POM,790
SYD,VLI,794
SYD,PDX,1920
SYD,ZQN,690
SYD,RAR,966
SYD,GIG,2100
SYD,FCO,1681
SYD,SAN,1581
SYD,SFO,1523
SYD,SCL,1865
SYD,GRU,2100
SYD,SEA,1581
SYD,ICN,1503
SYD,PVG,823
SYD,SIN,902
SYD,TPE,1235
SYD,TLV,2802
SYD,HND,915
SYD,NRT,907
SYD,YYZ,1962
SYD,YVR,1865
SYD,VCE,1780
SYD,VIE,1809
SYD,DCA,1831
SYD,WLG,654
SYD,ZRH,1563
MEL,AMS,1535
MEL,ATH,1559
MEL,ATL,1552
MEL,AKL,534
MEL,DMK,824
MEL,BCN,1982
MEL,BLR,979
MEL,BHX,1503
MEL,BOS,1503
MEL,YYC,1948
MEL,CNX,1044
MEL,ORD,1413
MEL,CHC,492
MEL,CMB,1294
MEL,CPH,1542
MEL,DFW,1484
MEL,DEL,972
MEL,DPS,558
MEL,DXB,2080
MEL,DUB,1447
MEL,FRA,1630
MEL,CAN,1095
MEL,SGN,801
MEL,HKG,775
MEL,HNL,1079
MEL,IAH,1462
MEL,CGK,707
MEL,JNB,1811
MEL,USM,1064
MEL,KUL,689
MEL,LAS,1278
MEL,LIM,1979
MEL,LHR,1380
MEL,LAX,1135
MEL,MAD,1588
MEL,MAN,1513
MEL,MNL,740
MEL,MEX,1410
MEL,MIA,1503
MEL,MXP,1592
MEL,BOM,994
MEL,MUC,1611
MEL,NAN,932
MEL,MSY,1413
MEL,JFK,1443
MEL,NOU,572
MEL,MCO,1503
MEL,KIX,753
MEL,PPT,1354
MEL,CDG,1632
MEL,PEN,739
MEL,PNH,1357
MEL,HKT,689
MEL,POM,732
MEL,VLI,890
MEL,PDX,1903
MEL,ZQN,696
MEL,RAR,918
